,class 1,class 2,class 3,class 4,class
0,I,N,F,J,INFJ
1,E,N,T,P,ENTP
2,I,N,T,P,INTP
3,I,N,T,J,INTJ
4,E,N,T,J,ENTJ
5,I,N,T,J,INTJ
6,I,N,F,J,INFJ
7,I,N,T,J,INTJ
8,I,N,F,J,INFJ
9,I,N,T,P,INTP
10,I,N,F,J,INFJ
11,E,N,F,J,ENFJ
12,I,N,F,J,INFJ
13,I,N,T,J,INTJ
14,I,N,T,P,INTP
15,I,N,T,P,INTP
16,I,N,F,J,INFJ
17,I,N,F,P,INFP
18,I,N,F,J,INFJ
19,I,N,F,P,INFP
20,I,N,T,P,INTP
21,I,N,F,J,INFJ
22,E,N,T,J,ENTJ
23,I,N,F,P,INFP
24,E,N,T,J,ENTJ
25,I,N,F,P,INFP
26,E,N,F,P,ENFP
27,I,S,F,P,ISFP
28,I,N,F,P,INFP
29,I,N,F,J,INFJ
30,I,N,F,P,INFP
31,I,N,F,J,INFJ
32,I,N,T,P,INTP
33,I,N,F,J,INFJ
34,E,N,F,J,ENFJ
35,I,N,F,J,INFJ
36,I,N,T,J,INTJ
37,I,N,F,P,INFP
38,E,N,F,P,ENFP
39,E,N,T,J,ENTJ
40,I,S,T,P,ISTP
41,I,N,F,J,INFJ
42,I,N,T,P,INTP
43,I,N,F,P,INFP
44,I,N,T,J,INTJ
45,I,N,T,P,INTP
46,E,N,T,J,ENTJ
47,I,N,F,P,INFP
48,I,S,F,J,ISFJ
49,I,N,T,J,INTJ
50,I,N,T,P,INTP
51,I,N,F,P,INFP
52,I,S,F,J,ISFJ
53,I,N,T,P,INTP
54,I,N,F,P,INFP
55,I,N,F,P,INFP
56,I,N,F,P,INFP
57,E,N,F,J,ENFJ
58,I,N,T,P,INTP
59,I,N,T,J,INTJ
60,I,N,F,J,INFJ
61,I,N,T,P,INTP
62,I,N,F,P,INFP
63,I,N,F,P,INFP
64,E,N,T,P,ENTP
65,I,N,T,P,INTP
66,I,S,F,P,ISFP
67,E,N,F,J,ENFJ
68,I,N,F,J,INFJ
69,E,N,F,J,ENFJ
70,I,N,F,J,INFJ
71,I,N,F,P,INFP
72,E,N,F,P,ENFP
73,I,S,T,P,ISTP
74,I,N,F,J,INFJ
75,I,N,T,P,INTP
76,I,N,T,J,INTJ
77,I,N,T,J,INTJ
78,I,N,T,J,INTJ
79,I,N,F,P,INFP
80,I,N,F,P,INFP
81,I,N,F,J,INFJ
82,E,N,T,P,ENTP
83,E,N,T,J,ENTJ
84,I,N,F,P,INFP
85,I,N,T,P,INTP
86,I,N,F,P,INFP
87,I,S,F,J,ISFJ
88,I,S,T,J,ISTJ
89,I,N,T,P,INTP
90,E,N,T,P,ENTP
91,I,N,T,P,INTP
92,I,S,F,P,ISFP
93,E,N,F,J,ENFJ
94,I,N,F,J,INFJ
95,I,N,F,P,INFP
96,I,N,F,J,INFJ
97,I,N,T,J,INTJ
98,I,N,F,J,INFJ
99,E,N,F,P,ENFP
100,I,N,F,P,INFP
101,I,N,F,P,INFP
102,E,N,F,P,ENFP
103,I,N,F,J,INFJ
104,I,S,T,P,ISTP
105,I,N,F,J,INFJ
106,I,S,T,J,ISTJ
107,E,N,F,J,ENFJ
108,I,N,T,P,INTP
109,I,N,T,J,INTJ
110,E,N,T,P,ENTP
111,I,N,F,P,INFP
112,I,N,F,P,INFP
113,E,S,T,P,ESTP
114,I,S,T,P,ISTP
115,E,N,F,P,ENFP
116,E,N,T,P,ENTP
117,I,N,T,P,INTP
118,I,N,F,J,INFJ
119,E,N,F,P,ENFP
120,E,N,T,P,ENTP
121,I,N,T,P,INTP
122,I,N,F,J,INFJ
123,I,S,T,P,ISTP
124,I,N,T,P,INTP
125,I,N,T,J,INTJ
126,E,N,T,P,ENTP
127,I,N,F,J,INFJ
