,url_no,emoji_n0,char_count,word_count,word_density,punctuation_count,upper_case_word_count,stopwords_count,unique_words_count,repeating_word_count,avg_word_length,Adjctive_count,Verb_count,Adverb_count,Noun_count,subjectivity_text,text_neg_score,text_neu_score,text_pos_score,text_sentiment_score,neg_words_in_text,pos_words_in_text,neu_words_in_text,text_polarity_Negetive,text_polarity_Neutral,text_polarity_Positive
0,0.48,0.0,18.932372918000002,90.1,12.1,7.44,0.34,4.82,11.28,0.82,18.234997928,1.18,0.72,0.0092,35,0.30306432180000004,0.06128,0.84982,0.08888,0.0471,0.36,0.78,10.96,False,True,False
1,0.18,0.0,10.588597936000001,138.12,24.38,7.64,1.82,9.78,21.72,2.66,9.691103498,2.28,1.52,0.03,58,0.4966573484,0.05238,0.76382,0.18382,0.353452,0.68,1.9,21.8,False,False,True
2,0.1,0.0,7.6004152099999995,102.36,17.7,5.38,0.74,6.78,16.66,1.04,6.775821872,1.7,1.8,0.022400000000000003,57,0.4256556268,0.054000000000000006,0.7990600000000001,0.1469,0.231268,0.52,1.42,15.76,False,True,False
3,0.04,0.0,5.79514415,122.48,22.26,6.24,1.38,9.44,19.94,2.32,4.855566136,2.34,1.98,0.0256,37,0.47542699740000005,0.06708,0.7911400000000001,0.1418,0.187302,0.5,1.16,20.6,False,False,True
4,0.12,0.0,9.704160244,119.28,20.32,5.9,1.02,8.78,18.26,2.06,8.846764602,1.88,1.62,0.0212,51,0.3349117812,0.10923999999999999,0.7673000000000001,0.12344,0.05427800000000001,0.8,1.24,18.28,False,True,False
5,0.02,0.0,5.5701035039999995,168.84,30.8,8.02,1.72,13.58,27.5,3.3,4.576391618,2.64,2.16,0.044000000000000004,85,0.47470544740000004,0.059640000000000006,0.8366,0.10371999999999999,0.15315,0.82,1.44,28.54,False,True,False
6,0.04,0.0,6.666766736,155.38,27.56,8.22,1.48,11.52,24.66,2.9,5.719083348000001,2.78,2.32,0.03,81,0.42581945400000004,0.06884,0.7515999999999999,0.17956,0.314936,0.92,2.12,24.52,False,False,True
7,0.02,0.0,5.2555157480000005,135.06,25.44,4.68,0.22,12.56,22.16,3.28,4.3493491440000005,2.08,1.5,0.0416,64,0.39641926400000005,0.08948,0.7558799999999999,0.15456,0.246498,0.68,1.92,22.84,False,False,True
8,0.46,0.0,18.101662924,103.56,15.74,7.96,0.42,6.46,14.42,1.32,17.457574894,1.64,1.02,0.0172,23,0.3231545574,0.048440000000000004,0.8531,0.09842000000000001,0.12188800000000001,0.5,1.1,14.14,False,False,True
9,0.14,0.0,9.386115932000001,148.52,25.64,6.56,0.3,12.44,22.6,3.04,8.503775606,2.82,2.74,0.032799999999999996,51,0.4194765874,0.0836,0.80128,0.11512,0.10483599999999998,0.88,1.42,23.34,True,False,False
10,0.02,0.0,5.588007288,164.68,30.06,8.04,1.76,12.6,26.88,3.18,4.609624256,2.44,2.1,0.03,67,0.41361689339999996,0.11214,0.80608,0.08178,-0.08686400000000001,1.4,1.24,27.42,False,False,True
11,0.06976744186046512,0.0,7.46789148372093,106.93023255813954,19.511627906976745,5.906976744186046,1.7209302325581395,8.069767441860465,17.58139534883721,1.930232558139535,6.694036713953489,1.9767441860465116,2.2325581395348837,0.0319091400757166,39,0.6006555588372093,0.08297674418604652,0.5689302325581395,0.3480930232558139,0.3544325581395349,0.7441860465116279,1.744186046511628,17.023255813953487,False,False,True
12,0.0,0.0,5.237389824000001,137.2,25.98,5.94,1.82,10.82,23.12,2.86,4.296288448,2.38,1.74,0.022799999999999997,62,0.467775496,0.06631999999999999,0.81896,0.1148,0.120084,0.98,1.54,23.46,False,True,False
13,0.0,0.0,5.434187808000001,177.76,32.88,7.58,2.42,14.28,28.98,3.9,4.46542522,2.86,2.88,0.0368,77,0.5323939884,0.07334,0.8123999999999999,0.1142,0.143686,1.02,2.0,29.86,False,True,False
